user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,parsed_date,only_date,only_time,datetime_for_sorting
Bradley,,"Fighting for life on Hemodialysis every day.. I am a MAJOR cellphone Nerd. I own the Galaxy Z Fold 3 now. 

Looking for 100 followers.

(Venmo: @bahall777)",2021-07-24 11:52:10,59.0,612.0,511.0,False,2022-04-11 18:29:35,"Pfizer Covid-19 Vaccine # 1 finished. 

I go back in 21 days for the 2nd vaccine then I am clear for transplant on May 17th.

Oh and I shaved.

Gosh I look like a skeleton. 

Go Dodgers!

#kidneytransplant #kidneyfailure #dialysis #CovidVaccine #endstagerenalfailure https://t.co/4pqKgCC2su","['kidneytransplant', 'kidneyfailure', 'dialysis', 'CovidVaccine', 'endstagerenalfailure']",Twitter Web App,False,2022-11-04 18:29:35,2022-11-04,18:29:35,2022-11-04 18:29:35
Jurij Kuhar,Slovenia,"Walked the deserts, swam the shores, many ways in which I've grown.
On a quest 4 PURPOSE & HAPPINESS!
यूरी कुहर / Юрий Кухар / يوري كوهار / יורי קוהאר",2020-12-29 13:02:20,72.0,40.0,25898.0,False,2022-04-11 18:32:15,"So, in the end the #COVAIDS “vaccines” (i.e. #experimental #GeneticTherapeutics) will be the least probable cause of the #heart related issues and diseases in the world. 👿

#Plandemics #CovidVaccine #COVID19 #COVID #Media #FakeNews https://t.co/uxDqS5T6l0","['COVAIDS', 'experimental', 'GeneticTherapeutics', 'heart', 'Plandemics', 'CovidVaccine', 'COVID19', 'COVID', 'Media', 'FakeNews']",Twitter for iPhone,False,2022-11-04 18:32:15,2022-11-04,18:32:15,2022-11-04 18:32:15
✈⚓🚚🗺,California,"Husband, Father, Entrepreneur 
Global Shipping & Trade",2019-04-01 04:53:08,99.0,532.0,678.0,False,2022-04-11 18:40:15,"How much $$$ do you think #Pfizer and #Moderna slipped under the table to the powers-that-be at the @US_FDA to essentially pocket veto the @Novavax approval? 

#Novavax #CovidVaccine","['Pfizer', 'Moderna', 'Novavax', 'CovidVaccine']",Twitter Web App,False,2022-11-04 18:40:15,2022-11-04,18:40:15,2022-11-04 18:40:15
Aaron Scherer,"Iowa City, IA","Researcher interested in using psychology to improve the utilization of preventive services like #vaccines, #cancerscreening, and #genetictesting.",2008-09-24 00:44:27,495.0,273.0,3102.0,False,2022-04-11 18:40:48,"Our latest @HaPPISurveys article in @JAMAInternalMed: 
We suggest two possible reasons why the impact of the #FDA full approval of the Pfizer-BioNTech #CovidVaccine didn't match pre-approval expectations

https://t.co/WIvZdS38vk

#vaccines #CovidVaccine #VisualAbstract https://t.co/8k6cBCpoZW","['FDA', 'CovidVaccine', 'vaccines', 'CovidVaccine', 'VisualAbstract']",Twitter Web App,False,2022-11-04 18:40:48,2022-11-04,18:40:48,2022-11-04 18:40:48
E-Diplomacy🌏🌻UkrainianGirlHeritage #SlavaUkraini,United States,https://t.co/M8YzBDZYnJ✦@AZDailyStarEditor✦Mom| Nature Photographer|,2010-10-16 19:38:37,7275.0,2410.0,55442.0,False,2022-04-11 18:40:50,"@democraticbear A clickbait headline buries #BidenBoom Democrat successes listed therein after Biden was handed DJT's worst job losses in US since Hoover; No distribution plan for #COVIDvaccine, 400,000 Americans dead while Repubs wrote laws against Mandates! #NeverForgetJan6 #VoteOutFascistGOP https://t.co/NUpq89IBEq","['BidenBoom', 'COVIDvaccine', 'NeverForgetJan6', 'VoteOutFascistGOP']",Twitter Web App,False,2022-11-04 18:40:50,2022-11-04,18:40:50,2022-11-04 18:40:50
Daisha Williams,,,2021-02-06 17:22:40,4.0,28.0,1.0,False,2022-04-11 18:49:09,"Protect yourself and others from COVID-19.
Learn More at https://t.co/CnbKaM3ttD 

To schedule an appointment, contact Open Arms Healthcare Center today at
(601) 500-7660.

#COVIDVaccine #GetVaccinated #ahealthiermississippi https://t.co/UyzFEN5Vll","['COVIDVaccine', 'GetVaccinated', 'ahealthiermississippi']",Twitter for iPhone,False,2022-11-04 18:49:09,2022-11-04,18:49:09,2022-11-04 18:49:09
Abogada Kate,"1005 E 40th Street, Austin, TX",Immigration & Bankruptcy Lawyer |#FamiliasSinFronteras | 512-599-8500,2011-06-09 16:31:25,915.0,1526.0,9183.0,False,2022-04-11 19:00:14,"Call or text 512-599-8500 for questions or concerns regarding how this affects your case.

#immigrationnews #immigrationlawyer #CovidVaccine 
 
https://t.co/G2gurr8Naj https://t.co/tzUTIbrVnR","['immigrationnews', 'immigrationlawyer', 'CovidVaccine']",Zoho Social,False,2022-11-04 19:00:14,2022-11-04,19:00:14,2022-11-04 19:00:14
No Pfizer Spike Proteins For Me Wells Cordoba,,America: land of the free and home of the brave. 🚛🚚#HonkHonk,2020-02-28 15:52:13,335.0,697.0,12890.0,False,2022-04-11 19:01:40,Piece of garbage .@JoeBiden wants to repeal the shield of liability against .@RemingtonArms but where is repealing of the liability shield from .@pfizer and #Moderna for their #CovidVaccine that has most likely ( 😉) injured and caused the death of people worldwide?,"['Moderna', 'CovidVaccine']",Twitter for iPhone,False,2022-11-04 19:01:40,2022-11-04,19:01:40,2022-11-04 19:01:40
Trash but not garbage,,Academic librarian hoping to live through COVID-19. Feeling for all my disabled academic colleagues.  Thoughts and opinions are my own. ♿️📢 🌈,2011-09-18 19:45:03,99.0,669.0,12780.0,False,2022-04-11 19:27:06,"Hey @cvspharmacy why is my father being told he can't get a covid vaccine because his insurance doesn't cover it, but my mother on the same insurance is being told she can. ALSO why are they looking at insurance since the vaccine is free? #COVID19 #CovidVaccine","['COVID19', 'CovidVaccine']",Twitter Web App,False,2022-11-04 19:27:06,2022-11-04,19:27:06,2022-11-04 19:27:06
Alabama Public Health,"Alabama, USA","Alabama Department of Public Health (ADPH) serves the people of Alabama by assuring conditions in which they can be healthy. 
Terms of Use: https://t.co/mpIq7M27Ot",2011-06-24 16:24:39,20811.0,450.0,3471.0,True,2022-04-11 20:46:14,"Dr. Candice Dye, an associate professor at @UABNews and Academic General Pediatrician at @ChildrensAL, joins the @ARCIPCatUAB to talk about the latest updates on the #COVIDvaccine approval for children under 5: https://t.co/qF8z9iaNbr https://t.co/wrpY9k6Kr6",['COVIDvaccine'],Twitter Web App,False,2022-11-04 20:46:14,2022-11-04,20:46:14,2022-11-04 20:46:14
