user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,parsed_date,only_date,only_time,datetime_for_sorting
VS🌙🐺,,Libra ♎️☀️ Gemini ♊️ 🌙 Gratitude and Positive Persistence,2009-06-17 06:41:16,378.0,348,31334,False,2021-01-31 16:43:05,Questions about the #CovidVaccine ? 👇🏽 https://t.co/vETzcaKPhJ,['CovidVaccine'],Twitter for iPhone,False,2021-01-31 16:43:05,2021-01-31,16:43:05,2021-01-31 16:43:05
Loves Truth & Art #FreeSpeech,"Northern California, USA","Looking for TRUTH talk first. 
Art talk 2nd. Career in artwork, illustration & design. 
🎨 Gallery site: https://t.co/Tkl7Qqa2mG",2015-08-15 22:55:37,1856.0,3870,6722,False,2021-01-31 16:43:07,https://t.co/tnykjJEt25 60% of vaccine-eligible frontline health workers are declining the as-yet-unlicensed mRNA v… https://t.co/wDBvcXZjJX,,Twitter Web App,False,2021-01-31 16:43:07,2021-01-31,16:43:07,2021-01-31 16:43:07
Rajeev Menon 🇱🇰,Sri Lanka,Medic⚕️ Traveller🧳🏖️ Foodie🌭🌮 Music🎶is Endorphins. A Father 👨‍👩‍👧 and a proud Sri Lankan! ❤️,2019-04-02 13:51:23,308.0,131,1821,False,2021-01-31 16:43:08,#CovishieldVaccine fact sheet by @SerumInstIndia. Since the #CovidVaccine drive has started in #lka #SriLanka peopl… https://t.co/ceiNZeqJcE,"['CovishieldVaccine', 'CovidVaccine', 'lka', 'SriLanka']",Twitter for Android,False,2021-01-31 16:43:08,2021-01-31,16:43:08,2021-01-31 16:43:08
Aηgєℓα Mαяιє 🍬,NOVA,God. Eagles. Phillies. Flyers. Sailor Moon. Amell. Arrowverse. Framing Hanley. Rick❤️. Binx🐱. Otaku. Gamer. Moderate. Fighter 🇺🇸. Ginger. No Soul.,2008-05-07 01:16:04,503.0,197,13738,False,2021-01-31 16:43:08,"Almost 48 hours later, and I still have the headache, sore muscle, and fatigue. Overall, it’s not too bad. I’d rath… https://t.co/QS8hjdLx49",,Twitter for iPhone,False,2021-01-31 16:43:08,2021-01-31,16:43:08,2021-01-31 16:43:08
Geo,Near Alb,,2009-02-22 16:08:36,57.0,295,10,False,2021-01-31 16:43:22,"Trump’s ‘Criminal Ineptitude And Apathy’ Doomed COVID-19 Vaccination Efforts, Report Says https://t.co/3oAFDvtWnW v… https://t.co/E2CUYgf2eC",,Twitter Web App,False,2021-01-31 16:43:22,2021-01-31,16:43:22,2021-01-31 16:43:22
IG: PRIDON COMMUNICATIONS,"Johannesburg, South Africa",CEO @ Pridon Holdings | Social Entrepreneur | Graphic Designer | Microsoft Certified Systems Expert | ICT specialist,2015-09-15 07:29:17,532.0,1637,670,False,2021-01-31 16:43:30,"Company Profile from: R999
Call/WhatsApp: 0798141870
info.pridon@gmail.com

Courtesy of @ Pridon Communications 🔥🔥… https://t.co/FojekLhCaa",,Twitter for Android,False,2021-01-31 16:43:30,2021-01-31,16:43:30,2021-01-31 16:43:30
Nzsyed,"کراچی, پاکستان","Passionate & Patriotic Pakistani 🇵🇰
Love Turkey 🇹🇷
Scientist by Profession ❤
پاکستان عشق جنون اور دیوانگی 🇵🇰❤",2018-04-04 11:40:50,57.0,29,1469,False,2021-01-31 16:43:39,Why don't you promote and emphasize on plasma therapies? Why go for foreign vaccines? Why don't give opportunities… https://t.co/zrOBOL6vDH,,Twitter for Android,False,2021-01-31 16:43:39,2021-01-31,16:43:39,2021-01-31 16:43:39
Mark Osmers,Orange County California,Sr. Dir. New Vehicles AutoNation #Komen #PredsNHL #GoNavy #PepperdineWaterPolo #Cars #DigitalMedia #Porsche #Cycling @AutoNation @DDB_Worldwide @CampbellEwald,2012-02-03 23:33:08,270.0,458,1836,False,2021-01-31 16:43:46,Our healthcare in the U.S. is a mess. It’s a sea of red tape. State and Fed government is ill-prepared to handle va… https://t.co/yipzWfGi8A,,Twitter for iPhone,False,2021-01-31 16:43:46,2021-01-31,16:43:46,2021-01-31 16:43:46
Karin Price Mueller,New Jersey,"Money/consumer columnist/reporter, NJ Advance Media/The Star-Ledger/ https://t.co/4IXfn7I1H8, https://t.co/iGvS4IzKhR. Your wallet, my big mouth. KPriceMueller@NJAdvanceMedia.com",2010-03-03 11:39:59,2177.0,1173,530,False,2021-01-31 16:43:47,Have you gotten a second dose COVID appointment through the N.J. hotline? Please send me a message at kpricemueller… https://t.co/zwC7KiMT2i,,Twitter Web App,False,2021-01-31 16:43:47,2021-01-31,16:43:47,2021-01-31 16:43:47
Sophie,,,2014-08-20 19:13:08,46.0,142,24453,False,2021-01-31 16:44:12,"Have taken my grandad to get his 1st Vaccination this afternoon! We are very happy people, Thankyou to the Staff at… https://t.co/pSam27aPU3",,Twitter for iPhone,False,2021-01-31 16:44:12,2021-01-31,16:44:12,2021-01-31 16:44:12
