user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,parsed_date,only_date,only_time,datetime_for_sorting
Rachael Jeffers,"Mid Ulster, NI",LLB. LLM. Social Security Legal Officer (Advice) @LawCentreNI. LPC student @UniversityofLaw. Tweets in a personal capacity.,2011-05-16 18:37:50,739.0,1739.0,4260.0,False,2021-05-28 17:46:41,2nd COVID jab in the bag and I am DELIGHTED 😀 #thankyouNHS #CovidVaccine https://t.co/McApew3r1p,"['thankyouNHS', 'CovidVaccine']",Twitter for iPhone,False,2021-05-28 17:46:41,2021-05-28,17:46:41,2021-05-28 17:46:41
TXCOVIDRECOVERY,"Rio Grande Valley, TX","Texans Recovering Together - Crisis Counseling Program 
Email: txcovidrecovery@ttbh.org
Office: M-F 8am-5pm (956)520-8900
24 Hour Crisis Hotline: 833-986-1919",2020-05-27 19:45:40,96.0,530.0,45.0,False,2021-05-28 17:47:21,"Vaccination Clinic at the Greenwood Senior Center Today, May 28th from 2pm-7pm and tomorrow, May 29th from 9am-3pm. #TexansRecoveringTogether #CorpusChristi #NuecesCounty #COVID19 #CovidVaccine https://t.co/jN21CPL6xP","['TexansRecoveringTogether', 'CorpusChristi', 'NuecesCounty', 'COVID19', 'CovidVaccine']",Twitter Web App,False,2021-05-28 17:47:21,2021-05-28,17:47:21,2021-05-28 17:47:21
India Ahead News,India,Digital and Mobile platform for discovering and sharing news on the go.,2018-03-29 08:24:44,21313.0,154.0,657.0,True,2021-05-28 17:47:42,"Centre said “It is thinking of mixing &amp; matching #Covidvaccine doses on a trial basis”. Spain and UK have undertaken such trials successfully. Should India do it next? 
Full Show-https://t.co/WcNR1Bcif3

@ArvinderSoin @medanta @nehakhanna_07 @MahajanImaging @sgrhindia #Covid19","['Covidvaccine', 'Covid19']",Twitter Web App,False,2021-05-28 17:47:42,2021-05-28,17:47:42,2021-05-28 17:47:42
Wingsfan99....vaccinated,"Holland, MI","Retired, Power lifter (465 lb BP when 54) w/a brain. Love 🇯🇲Blue Mountain Coffee. tRump LIES AND SUCKS! I follow back.🌊🌊🌊🌊😻#FBR Meow NO DM or LINKS!",2009-06-02 18:19:44,7171.0,7214.0,13227.0,False,2021-05-28 17:47:44,@USAA And close to the same number of Americans died fro Covid19 during this pandemic.  Lets also remember them as well. #Covid19 #CovidVaccine #COVID,"['Covid19', 'CovidVaccine', 'COVID']",Twitter Web App,False,2021-05-28 17:47:44,2021-05-28,17:47:44,2021-05-28 17:47:44
Karthik Jannu,Bangalore,"Data Scientist (Amazon, Ex-Mu Sigma)| Artist (Insta ID: https://t.co/2jODh7TaOQ.hikjannu)
ಬೆಂಗಳೂರು | Kannada & Konkani | EDM | RVCE | RCB & BFC | Travel & Politics",2010-05-09 07:04:20,353.0,533.0,37666.0,False,2021-05-28 17:47:50,"@sardesairajdeep @PrakashJavdekar When do u ever speak anything positive? 
Why is May d benchmark? Do u even understand statistics? 
Why don't u tell us that we wer at 3 to 3.5 Million/day during March. 
With our infra expanding, 10M looks do-able. Journos like u are a bigger threat than d #virus

#CovidVaccine","['virus', 'CovidVaccine']",Twitter for Android,False,2021-05-28 17:47:50,2021-05-28,17:47:50,2021-05-28 17:47:50
Raring2Go! Newcastle,Newcastle upon Tyne,"Free magazine and website, the go to guide for you and your child. What’s on, clubs and classes, party ideas. Anna Skelton, editor. newcastle@raring2go.co.uk",2011-07-13 21:55:38,4351.0,3572.0,9013.0,False,2021-05-28 17:48:16,Congratulations to #Janssen #johnsonandjohnson #CovidVaccine vaccine team. We were part of the trial. Husband had two shots of the one shot jab so feels pretty bullet proof! Great news that it’s approved for use in the UK. Thanks to the team at the Freeman Hospital #Newcastle https://t.co/kYSXxNT4fY,"['Janssen', 'johnsonandjohnson', 'CovidVaccine', 'Newcastle']",Twitter for iPhone,False,2021-05-28 17:48:16,2021-05-28,17:48:16,2021-05-28 17:48:16
Stephen Sipila,New York,Just your friendly neighborhood Asian woman trapped in the body of a white guy glad to see that Donald Trump's 4th Reich has fallen and sanity's being restored.,2011-07-14 04:20:45,1554.0,4764.0,30753.0,False,2021-05-28 17:49:00,My second story for #fridaymorning is The Covid Erectile Dysfunction Epidemic. A man who is convinced wearing a mask is emasculating is convinced by a woman to get his #Covidvaccine after she reveals to him the possibility that #Covid could give him erectile dysfunction.,"['fridaymorning', 'Covidvaccine', 'Covid']",Twitter Web App,False,2021-05-28 17:49:00,2021-05-28,17:49:00,2021-05-28 17:49:00
JodiKendrickAuthor 🍁🖋📚💋,Eastern Ontario,"Author of Paranormal, Historical, Steampunk and Fantasy Romances.
History Enthusiast and Word Dabbler exploring ‘beyond-the-everyday’ and the ‘time-before-now’.",2019-06-07 20:02:19,476.0,767.0,2817.0,False,2021-05-28 17:49:45,"Accompanied my husband for his 1st shot today and discovered there'd been a cancellation. So This girl got shot today too! 💖 
Stay healthy everyone!

#CovidVaccine #vaccinated #COVIDCanada #Health #relieved #COVID19Ontario https://t.co/uZRJui6B6x","['CovidVaccine', 'vaccinated', 'COVIDCanada', 'Health', 'relieved', 'COVID19Ontario']",Twitter Web App,False,2021-05-28 17:49:45,2021-05-28,17:49:45,2021-05-28 17:49:45
Danny Dainton,"Bristol, England",Senior Quality Engineer @getpostman 🚀 | Remote Worker 🌍 | Ex @south_west_test Organiser ❤ | Ex Army Infantry Soldier 🇬🇧 | Continuously Learning 🏆,2012-06-22 14:40:33,3637.0,1351.0,31253.0,False,2021-05-28 17:50:12,"First vaccination done today!! 💉

All the staff at the Ashton Gate site were amazing!! 😍 #CovidVaccine",['CovidVaccine'],Twitter for Android,False,2021-05-28 17:50:12,2021-05-28,17:50:12,2021-05-28 17:50:12
Sally Heukers,"Melbourne, Australia","Founder MyLocalVillage | Sharing love, gritty and heart stuff ❤ #SustainableLiving #SmallBusiness #ShopLocal",2010-01-13 11:48:34,187.0,293.0,2864.0,False,2021-05-28 17:50:40,This vaccine is already being used in South Africa. #CovidVaccine #COVID19 https://t.co/u2n05n0D1g,"['CovidVaccine', 'COVID19']",Twitter for Android,False,2021-05-28 17:50:40,2021-05-28,17:50:40,2021-05-28 17:50:40
