user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,parsed_date,only_date,only_time,datetime_for_sorting
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,36.0,0.0,0.0,False,2021-12-25 10:30:14,"18-44 #URBAN #Bengaluru #CovidVaccine Availability for 25/12 at 04:00PM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:633, Dose2:498
#COVAXIN - Dose1:464, Dose2:460","['URBAN', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN']",VaxBlr,False,2021-12-25 10:30:14,2021-12-25,10:30:14,2021-12-25 10:30:14
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,36.0,0.0,0.0,False,2021-12-25 10:30:24,"18-44 #BBMP #Bengaluru #CovidVaccine Availability for 25/12 at 04:00PM
FREE Slots 
#COVISHIELD - Dose1:8027, Dose2:4991
#COVAXIN - Dose1:4474, Dose2:4858
PAID Slots 
#COVISHIELD - Dose1:4847, Dose2:2327
#COVAXIN - Dose1:2486, Dose2:2622
#SPUTNIKV - Dose1:203, Dose2:152","['BBMP', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN', 'COVISHIELD', 'COVAXIN', 'SPUTNIKV']",VaxBlr,False,2021-12-25 10:30:24,2021-12-25,10:30:24,2021-12-25 10:30:24
GET VACCINATED! #AsymptomaticsCanPassCOVID19,"Manhattan, NY","GrandMa,Montessori educator ages 3-14; I 👊🏾 daily 4 💜Family & Mother 🌍, 4 Seniors,SinglePayer,Gender =🙏🏾; 👊🏾COVID19; VOTEBLUE 🌊 #BLACKLIVESMATTERTOO‼️",2014-12-13 16:14:41,2919.0,4642.0,68653.0,False,2021-12-25 10:43:11,#trump is taking credit for #CovidVaccine…When he won’t back up his own actions and take credit for the #JANUARY6thINSURRECTION‼️ https://t.co/jIsr8j2zm8,"['trump', 'CovidVaccine', 'JANUARY6thINSURRECTION']",Twitter for iPad,False,2021-12-25 10:43:11,2021-12-25,10:43:11,2021-12-25 10:43:11
Kapildev Shrivas,Ahemedabad,"Just Saying Truth.
Open Minded, Loves Retro Songs.
Many thing is Going on in Life, But Never loos hope.
Matru Devo Bhava... Pitru Devo Bhava 🙏🏻",2010-05-17 08:54:33,39.0,264.0,478.0,False,2021-12-25 10:55:03,"@MoHFW_GUJARAT @CMOGuj @MoHFW_INDIA @Bhupendrapbjp 
I did not take my 2nd dose of #CovidVaccine &amp; still i have received message from NHPSMS that i have succuessfully completed my second dose.
Why this happening ??",['CovidVaccine'],Twitter for Android,False,2021-12-25 10:55:03,2021-12-25,10:55:03,2021-12-25 10:55:03
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,36.0,0.0,0.0,False,2021-12-25 11:00:04,"45+ #RURAL #Bengaluru #CovidVaccine Availability for 25/12 at 04:30PM
FREE Slots 0
PAID Slots 0","['RURAL', 'Bengaluru', 'CovidVaccine']",VaxBlr,False,2021-12-25 11:00:04,2021-12-25,11:00:04,2021-12-25 11:00:04
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,36.0,0.0,0.0,False,2021-12-25 11:00:14,"45+ #URBAN #Bengaluru #CovidVaccine Availability for 25/12 at 04:30PM
FREE Slots 0
PAID Slots 0","['URBAN', 'Bengaluru', 'CovidVaccine']",VaxBlr,False,2021-12-25 11:00:14,2021-12-25,11:00:14,2021-12-25 11:00:14
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,36.0,0.0,0.0,False,2021-12-25 11:00:25,"45+ #BBMP #Bengaluru #CovidVaccine Availability for 25/12 at 04:30PM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:298, Dose2:298
#COVAXIN - Dose1:50, Dose2:50","['BBMP', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN']",VaxBlr,False,2021-12-25 11:00:25,2021-12-25,11:00:25,2021-12-25 11:00:25
JAYANTA KUMAR DAS,"Puri, India",I am a Right Activist & Human Rights Defender. Especially working on Judiciary Corruption issues. Strong Willpower & Follow up Action brings Success. ✊💪✌️,2015-01-16 08:14:54,1675.0,2829.0,6677.0,False,2021-12-25 11:02:40,@IamSandipNayak You are LYING. He is PRESENT in Every #CovidVaccine Certificate of Citizen! (He is Omnipresent).,['CovidVaccine'],Twitter for Android,False,2021-12-25 11:02:40,2021-12-25,11:02:40,2021-12-25 11:02:40
Bernard McEldowney,"Bromsgrove, Worcestershire",Retired police officer. Originally from Derry. RT's don't necessarily mean endorsement,2011-12-07 20:46:31,3107.0,4640.0,232437.0,False,2021-12-25 11:17:36,"@PaulSeaton5 @andreajenkyns Getting #CovidVaccine does not 100% prevent people getting #Covid..

Main purpose is to reduce risk of hospitalisation and/or death.

I had #COVID19 2 months ago, but the vaccine prevented me experiencing any serious complications. 

Get #Boosted","['CovidVaccine', 'Covid', 'COVID19', 'Boosted']",Twitter Web App,False,2021-12-25 11:17:36,2021-12-25,11:17:36,2021-12-25 11:17:36
Simon Hall 💙🏳️‍🌈,"Blackheath, London, UK","Director of Transformation: health & care system NE London, here in personal capacity only; passionate about NHS, Blackheath, diversity, education, VACCINATIONS",2010-11-03 09:03:47,676.0,488.0,5561.0,False,2021-12-25 11:24:57,"@firewool @RedbridgeLive Great to see @RedbridgeLive on the news, excellent coverage for the amazing efforts of staff for @NELHCP residents #CovidVaccine @NHSEnglandLDN",['CovidVaccine'],Twitter for iPhone,False,2021-12-25 11:24:57,2021-12-25,11:24:57,2021-12-25 11:24:57
