user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,parsed_date,only_date,only_time,datetime_for_sorting
Amy Jacobson,"Perth, Western Australia",Fascinated by the human mind- Emotional Intelligence Specialist and Wiley published Author #emotionalintelligence #humanbehaviour #keynotespeaker #training,2018-10-26 14:03:09,9.0,65.0,6.0,False,2021-08-05 03:22:29,"Would $300 encourage you to have your Covid vaccine? 
This week I spoke with the West Australian and offered my thoughts on this cash incentive. #covidvaccine #incentive #humanbehaviour https://t.co/A5fkdpp63k","['covidvaccine', 'incentive', 'humanbehaviour']",Twitter Web App,False,2021-05-08 03:22:29,2021-05-08,03:22:29,2021-05-08 03:22:29
Sumi Dutta,"New Delhi, India","Journalist with @NewIndianXpress. Fly on the wall. Amateur Madhubani Painter. Write mainly on health, education and gender issues. Ex @ttindia @timesofindia",2012-12-12 08:37:46,2335.0,1080.0,5546.0,False,2021-08-05 03:23:01,"When #COVIDVaccination opens for under 18 later this month, adolescents with comorbodities likely to be prioritized. Our report

#CovidVaccine 
@gsvasu_TNIE https://t.co/12Ss5ESZSP","['COVIDVaccination', 'CovidVaccine']",Twitter for Android,False,2021-05-08 03:23:01,2021-05-08,03:23:01,2021-05-08 03:23:01
RainyUpde,Pennsylvania Dutch Country,"Civil War Reenactor, Liberal Democrat, volunteer for animal causes, Buddhism 🕉️, history...Proud to be Deitsch...🇩🇪",2017-09-25 05:30:39,294.0,746.0,24940.0,False,2021-08-05 03:23:06,My sweet Mother's Memorial picnic....#CovidVaccine  #CovidIsNotOver https://t.co/TYlg3k4Zxh,"['CovidVaccine', 'CovidIsNotOver']",Twitter for Android,False,2021-05-08 03:23:06,2021-05-08,03:23:06,2021-05-08 03:23:06
Red Pill Mama,Planet Earth,#bitcoin #xrp,2020-04-07 01:31:48,443.0,507.0,23436.0,False,2021-08-05 03:23:13,Social Security is NOT a “government benefit”.  We’ve paid into it for years!  Suggesting the notion that the unvaccinated won’t get Social Security?  EVIL @BillGates #coronavirus #CovidVaccine #SocialMedia #Olympics https://t.co/CrkgNzGqN1,"['coronavirus', 'CovidVaccine', 'SocialMedia', 'Olympics']",Twitter for iPhone,False,2021-05-08 03:23:13,2021-05-08,03:23:13,2021-05-08 03:23:13
Sambad English,Odisha,"Odisha Sun Times is now Sambad English. We cover Breaking News, Alerts & Feature Articles.

Join us on: https://t.co/dVPFiHHyyo",2013-11-12 08:17:29,61665.0,4.0,7.0,False,2021-08-05 03:24:35,"Fully vaccinated persons thrice at lower risk of #COVID19: Study https://t.co/DMMFXSPxNW 

#CovidVaccine","['COVID19', 'CovidVaccine']",Twitter Web App,False,2021-05-08 03:24:35,2021-05-08,03:24:35,2021-05-08 03:24:35
Dr. E. Michael Harrington (masked & vaxxed),Nashville; Boston,"Expert witness who freed We Shall Overcome; Copyright/IP Consultant. Composer, musician, xenophile, diversity & right to vote. 😍 https://t.co/LNS140zEv8",2008-09-14 18:34:27,4171.0,1617.0,69087.0,False,2021-08-05 03:26:10,"It's the ""sniffles"" with a guitar!  It's the ""Democrat hoax"" with a guitar!  It's ""just like a cold"" with a guitar!  It's ""one person coming in from China"" with a guitar! #CovidVaccine #fauciownsrandpaul #GOPDeathCult #GOPDomesticTerrorists https://t.co/QecHCNXaUx","['CovidVaccine', 'fauciownsrandpaul', 'GOPDeathCult', 'GOPDomesticTerrorists']",Twitter Web App,False,2021-05-08 03:26:10,2021-05-08,03:26:10,2021-05-08 03:26:10
😷 Pebbles21 😷,United States 🇺🇸,"Do as much good for others as you can, whenever you can. Live your true life. Age is just a meaningless number.",2008-08-16 03:36:44,3088.0,3178.0,75167.0,False,2021-08-05 03:27:32,"Are you on @tiktok_us? If so, please report this account. It’s Erin Elizabeth, one of the infamous anti-vaxxers making lots of money off of scaring people from the #CovidVaccine. She’s been kicked off most social media but #TikTok lets her stay. https://t.co/AJLyQXMpDr","['CovidVaccine', 'TikTok']",Twitter for iPhone,False,2021-05-08 03:27:32,2021-05-08,03:27:32,2021-05-08 03:27:32
Sloane-Boekbinder,,"Big “A” Artist, Haikuist, Wife, Mother, Aunt, Science Nerd, Chocolate Lover",2012-05-16 18:30:49,1925.0,2606.0,25063.0,False,2021-08-05 03:29:59,"#COVID #DeltaVariant #CovidIsNotOver 
Get the #CovidVaccine and #MaskUp https://t.co/VdYBWXr7HR","['COVID', 'DeltaVariant', 'CovidIsNotOver', 'CovidVaccine', 'MaskUp']",Twitter Web App,False,2021-05-08 03:29:59,2021-05-08,03:29:59,2021-05-08 03:29:59
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,18.0,0.0,0.0,False,2021-08-05 03:30:03,"18-44 #RURAL #Bengaluru #CovidVaccine Availability for 05/08 at 09:00AM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:21, Dose2:37
#COVAXIN - Dose1:72, Dose2:69","['RURAL', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN']",VaxBlr,False,2021-05-08 03:30:03,2021-05-08,03:30:03,2021-05-08 03:30:03
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,18.0,0.0,0.0,False,2021-08-05 03:30:14,"18-44 #URBAN #Bengaluru #CovidVaccine Availability for 05/08 at 09:00AM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:459, Dose2:52
#COVAXIN - Dose1:195, Dose2:83
#SPUTNIKV - Dose1:166, Dose2:0","['URBAN', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN', 'SPUTNIKV']",VaxBlr,False,2021-05-08 03:30:14,2021-05-08,03:30:14,2021-05-08 03:30:14
