user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,parsed_date,only_date,only_time,datetime_for_sorting
MyBoyzBeatz | GT’s Records,"Birmingham, UK",Founder of My Boyz Beatz Producers & Beat Makers and GT’s Records | Let The 🎵 Do The Talking Tel: 07956 493812 - info@gtsrecords.co.uk,2014-07-19 14:36:01,837.0,409,5933,False,2021-01-19 22:36:29,"Thought I would share this with you 💕. Yes, I've had the Astra Zeneca vaccination today. So far so good. Despite ma… https://t.co/0sHR1LnJ69",,Twitter for iPhone,False,2021-01-19 22:36:29,2021-01-19,22:36:29,2021-01-19 22:36:29
Kristen Shamus,"Detroit, Michigan","Native of (way) upstate N.Y. Syracuse alum. Michigander by choice. Health & gender reporter, Detroit Free Press/USA Today Network. kshamus@freepress.com",2008-09-15 13:57:18,3225.0,1881,5303,True,2021-01-19 22:36:52,"#BREAKING: Nearly 12,000 doses of Moderna's #COVID-19 vaccine were spoiled en route to Michigan.… https://t.co/2fxpYvRlFp","['BREAKING', 'COVID']",Twitter Web App,False,2021-01-19 22:36:52,2021-01-19,22:36:52,2021-01-19 22:36:52
"Margarida Martins-Oliveira, RD, PhD",Lisbon Portugal (b. Portuense),"Nontrad MS1🩺 • Neuroscientist • Assist Prof • Dietitian. Migraine, nutrition, healthy brain aging, 🇺🇸pancakes. PhD alumna @ucsf @kingsIoPPN Postdoc @Neuro_CF",2018-01-18 15:28:27,426.0,1143,9470,False,2021-01-19 22:37:36,Where are the freaking vaccines??? #RIP218 #Portugal #COVID19 #Vacinacovid19 #CovidVaccine @EU_Commission,"['RIP218', 'Portugal', 'COVID19', 'Vacinacovid19', 'CovidVaccine']",Twitter for iPhone,False,2021-01-19 22:37:36,2021-01-19,22:37:36,2021-01-19 22:37:36
Chris Mathews 🇺🇸,"Clarksville, TN","38| born/ raised Clarksville, TN| Employed @ Mathews Nissan| Head Coach C’ville Academy Middle School Boys 🏀 |#TitanUp #LetsGoPeay #GBO #ForTheA #ATLUTD #Di9",2010-01-30 19:50:38,545.0,735,13496,False,2021-01-19 22:38:00,*sets reminder to post a pic and let the world know on social media the next time I have my blood drawn as if anyon… https://t.co/mEYYBpi4T9,,Twitter for iPhone,False,2021-01-19 22:38:00,2021-01-19,22:38:00,2021-01-19 22:38:00
Latinos in DeepSouth,Deep South USA,"Where health care access, immigrant rights, and southern charm meet!
A program by the Latino Commission on AIDS",2012-03-09 16:11:10,1780.0,1778,967,False,2021-01-19 22:38:59,"Chattanooga health experts explain why statewide minority vaccination rates are low 

#CovidVaccine #Chattanooga… https://t.co/oSic6yFm0S","['CovidVaccine', 'Chattanooga']",Twitter Web App,False,2021-01-19 22:38:59,2021-01-19,22:38:59,2021-01-19 22:38:59
JohnsHopkinsCIR,"Baltimore, MD",The mission of the Johns Hopkins Center for Immunization Research is to facilitate the development of new vaccines for infectious diseases of global importance.,2017-09-19 14:27:07,450.0,223,2326,False,2021-01-19 22:39:26,"On this #Inauguration2021 Eve, we remember the 400,000+ lives lost to the #COVID19 pandemic in the United States.… https://t.co/rQVTUDoqQS","['Inauguration2021', 'COVID19']",Twitter Web App,False,2021-01-19 22:39:26,2021-01-19,22:39:26,2021-01-19 22:39:26
𝙻𝚊𝚞𝚛𝚊 𝚂𝚔𝚊𝚒𝚏𝚎-𝙺𝚗𝚒𝚐𝚑𝚝,"King’s Lynn, Norfolk","Deputy CEO, Queen Elizabeth Hospital King’s Lynn NHS Foundation Trust @TeamQEH | Passionate about improving patient & staff experience #TeamQEH #oneteam",2015-12-27 11:30:55,4840.0,5218,59717,False,2021-01-19 22:39:44,Well done &amp; thank you to our fantastic #CovidVaccine team 👏👏👏👏👏👏 https://t.co/6z3bt677qN,['CovidVaccine'],Twitter for iPhone,False,2021-01-19 22:39:44,2021-01-19,22:39:44,2021-01-19 22:39:44
SmallFishBigPond 🐠,,"Dog mom. Gardener. Passionate about education, global issues, human rights, preventing gun violence. Personal blog: https://t.co/P4BQqF2CSz",2015-11-02 21:32:04,1032.0,2011,29474,False,2021-01-19 22:40:30,Seeing Illinois's positivity rate going down is bringing me hope. My son gets his first vaccine tomorrow. Most of u… https://t.co/46XT2Ug0SG,,Twitter Web App,False,2021-01-19 22:40:30,2021-01-19,22:40:30,2021-01-19 22:40:30
.•°★°•Cat★Lady•°★°•.,"Ontario, Canada",".★ﾟ.No animal has more liberty than the cat, but it buries the mess it makes... Until they learn that from the cat I cannot respect them.｡ﾟ★.",2017-10-11 18:21:24,136.0,485,12661,False,2021-01-19 22:40:57,@fordnation acting like you need saving while throwing a fit isn't the right strategy. If you were more of a leader… https://t.co/24Xal1JEAX,,Twitter for Android,False,2021-01-19 22:40:57,2021-01-19,22:40:57,2021-01-19 22:40:57
WellShare,,WellShare envisions communities with equitable health care and resources where ALL individuals live healthy and fulfilling lives.,2011-01-04 22:15:28,264.0,508,282,False,2021-01-19 22:40:59,You are not alone! Our #CommunityHealthWorkers are here to help you navigate your #COVID19 related concerns. Our ho… https://t.co/M3mSdGVfLy,"['CommunityHealthWorkers', 'COVID19']",Twitter Web App,False,2021-01-19 22:40:59,2021-01-19,22:40:59,2021-01-19 22:40:59
