user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,parsed_date,only_date,only_time,datetime_for_sorting
Joseph Lyttleton,"Madrid, Spain","Lived in 10 US states, 12 US cities, and one giant bubble. Now residing in Spain; still an avid follower of US politics, pop culture, and KU basketball. #writer",20-09-2010 02:17,267.0,908.0,45174.0,False,14-09-2020 09:34,"A #CovidVaccine (or multiple vaccines) will be available in the near future, but anyone suggesting a fully tested a… https://t.co/M4XONlcOId",['CovidVaccine'],Twitter Web App,False,2020-09-14 09:34:00,2020-09-14,09:34:00,2020-09-14 09:34:00
TreasuryONE,Pretoria,"TreasuryONE provides a broad range of best practice treasury technology and solutions to organisations, unlocking financial value.",14-05-2010 11:31,534.0,453.0,48.0,False,14-09-2020 09:35,"News that the Oxford-based Covid-19 vaccine trials will resume has turned markets positive this morning.

#Covid19… https://t.co/mrZYuGyKXT",['Covid19'],Hootsuite Inc.,False,2020-09-14 09:35:00,2020-09-14,09:35:00,2020-09-14 09:35:00
Joanne Beresford,,,23-03-2009 13:05,99.0,425.0,725.0,False,14-09-2020 10:22,"Contribute to the Government COVID vaccine consultation here
#CovidVaccine #COVID19
👇👇👇👇👇👇👇
https://t.co/AZegBLaHvQ","['CovidVaccine', 'COVID19']",Twitter for Android,False,2020-09-14 10:22:00,2020-09-14,10:22:00,2020-09-14 10:22:00
Parikshit Bhardwaj,"New Delhi, India",Head - Content @ https://t.co/D76vW26O9f. Education and Content industry professional with 15+ years of experience across industries.,31-12-2009 08:35,160.0,411.0,315.0,True,14-09-2020 10:35,COVID-19 Vaccine may be ready by the first quarter of 2021: Health Minister #CovidVaccine #coronavirus @DrHVoffice… https://t.co/p2I0bWMtAX,"['CovidVaccine', 'coronavirus']",Twitter for iPhone,False,2020-09-14 10:35:00,2020-09-14,10:35:00,2020-09-14 10:35:00
Kabelo,,Horn of Africa peace and development activist. realist. Thinking without the boxes,25-04-2009 16:47,5889.0,559.0,53623.0,False,14-09-2020 10:36,"#CovidVaccine Should first be tested on politicians in Kenya. If they are protected, the vaccine is safe to use. If… https://t.co/9iCqqWWdIi",['CovidVaccine'],Twitter for Android,False,2020-09-14 10:36:00,2020-09-14,10:36:00,2020-09-14 10:36:00
Sibnath Karmakar,Guwahati,Journalist @ The Hills Times,03-05-2011 09:36,25.0,83.0,370.0,False,14-09-2020 10:58,#Covid-19 vaccine won't be available to everyone before end of 2024: Serum Institute chief said in an interview to… https://t.co/peNIHyDTJT,['Covid'],Twitter for Android,False,2020-09-14 10:58:00,2020-09-14,10:58:00,2020-09-14 10:58:00
Jagran English,"New Delhi, India",Jagran English the new age Trending News site. Check out https://t.co/UuzBHS8KDs for all latest & top trends across globe.,29-12-2010 06:03,6712.0,35.0,77.0,True,14-09-2020 11:11,"Top story on https://t.co/l3bgnHe0fV right now

Read it here: https://t.co/VhW0D4g4ZP

#JagranTopStory #CovidVaccine https://t.co/aDGlCcorXq","['JagranTopStory', 'CovidVaccine']",Twitter Web App,False,2020-09-14 11:11:00,2020-09-14,11:11:00,2020-09-14 11:11:00
reK,,Web Developer - CSM,02-10-2009 02:19,136.0,761.0,13191.0,False,14-09-2020 11:23,"No time to see if long term effects show up, such as in two years, because that takes two years. Screw this vaccine… https://t.co/mm1g8XMZT5",,Twitter for iPhone,False,2020-09-14 11:23:00,2020-09-14,11:23:00,2020-09-14 11:23:00
Lascar Electronics,"Salisbury, England","Manufacturer of EasyLog Data Loggers and PanelPilot Displays. #datalogging #electronics
As well as our innovative products we also offer a Custom Design Service",25-08-2009 15:26,1776.0,645.0,366.0,False,14-09-2020 11:26,"Due to the intensity of the coronavirus pandemic and the devastating effect it has had across the world, researcher… https://t.co/tsSiMuntwP",,Hootsuite Inc.,False,2020-09-14 11:26:00,2020-09-14,11:26:00,2020-09-14 11:26:00
ETHealthWorld,"Noida, India",One stop platform that tracks all breaking news & analysis of the pulsating healthcare industry.,30-10-2014 07:51,5814.0,891.0,249.0,True,14-09-2020 11:30,ETHealthworld | Logistics biggest challenge for vaccine makers in Hyderabad #Vaccine #Hyderabad… https://t.co/jVmNVB93Yo,"['Vaccine', 'Hyderabad']",econ b2b post,False,2020-09-14 11:30:00,2020-09-14,11:30:00,2020-09-14 11:30:00
